ticket_id,customer_id,created_date,created_time,category,status,priority,days_open,resolved_date,satisfaction_score,contact_channel,assigned_agent
TKT0001,CUS0191,2024-02-13,08:20,Warranty,Open,High,21,2024-03-05,4.0,Chat,Agent B
TKT0002,CUS0216,2024-08-31,09:11,Delivery,Resolved,Medium,10,2024-09-10,3.0,In-Person,Agent E
TKT0003,CUS0096,2022-02-14,15:37,Return Request,Closed,Critical,14,2022-02-28,5.0,In-Person,Agent B
TKT0004,CUS0130,2024-02-04,14:19,Technical Support,In Progress,Low,19,2024-02-23,3.0,In-Person,Agent D
TKT0005,CUS0138,2024-03-31,16:10,Delivery,Escalated,Medium,18,2024-04-18,,Email,Agent B
TKT0006,CUS0171,2022-04-21,10:51,Delivery,Closed,Critical,2,2022-04-23,2.0,Email,Agent D
TKT0007,CUS0001,2022-10-30,12:19,Technical Support,In Progress,Medium,6,2022-11-05,5.0,Email,Agent D
TKT0008,CUS0047,2023-05-17,13:00,Product Info,In Progress,High,4,2023-05-21,4.0,Chat,Agent D
TKT0009,CUS0282,2024-03-18,15:42,Product Info,Closed,Medium,22,2024-04-09,1.0,Chat,Agent D
TKT0010,CUS0066,2023-10-14,14:49,Delivery,Resolved,Critical,24,2023-11-07,5.0,In-Person,Agent E
TKT0011,CUS0037,2023-12-12,17:01,Billing,Escalated,Medium,15,2023-12-27,4.0,Email,Agent C
TKT0012,CUS0186,2023-11-28,17:38,Product Info,Open,Medium,16,2023-12-14,5.0,Email,Agent D
TKT0013,CUS0097,2022-04-01,09:21,Product Info,In Progress,Critical,6,2022-04-07,99.0,Email,Agent C
TKT0014,CUS0160,2024-03-03,08:16,Product Info,In Progress,Medium,21,2024-03-24,5.0,In-Person,Agent E
TKT0015,CUS0055,2024-08-10,09:41,Product Info,Open,Medium,25,2024-09-04,,Phone,Agent B
TKT0016,CUS0295,2024-11-04,08:31,Warranty,Closed,Critical,12,2024-11-16,4.0,Chat,Agent C
TKT0017,CUS0218,2023-06-14,17:51,Product Info,Escalated,High,23,2023-07-07,4.0,In-Person,Agent C
TKT0018,CUS0274,2024-01-18,14:34,Product Info,Open,Medium,3,2024-01-21,5.0,Chat,Agent C
TKT0019,CUS0133,2023-02-09,15:27,Technical Support,Closed,High,16,2023-02-25,5.0,Chat,Agent A
TKT0020,CUS0251,2024-07-31,17:43,Delivery,Resolved,Critical,11,2024-08-11,,Phone,Agent C
TKT0021,CUS0013,2023-07-02,14:01,Product Info,Resolved,High,-4,2023-07-07,99.0,Chat,Agent E
TKT0022,CUS0058,2024-01-02,14:15,Billing,Open,Low,23,2024-01-25,,Email,Agent B
TKT0023,CUS0253,2024-06-01,15:44,Return Request,In Progress,Critical,28,2024-06-29,2.0,Chat,Agent A
TKT0024,CUS0168,2024-02-03,09:24,Return Request,Open,High,-2,2024-02-04,,Phone,Agent D
TKT0025,CUS0206,2022-02-15,12:46,Warranty,Open,Critical,5,2022-02-20,5.0,Chat,Agent B
TKT0026,CUS0293,2023-06-19,16:54,Billing,Open,High,9,2023-06-28,4.0,In-Person,Agent B
TKT0027,CUS0224,2023-07-17,10:17,Return Request,Open,Critical,23,2023-08-09,4.0,Email,Agent C
TKT0028,CUS0140,2022-01-11,14:42,Billing,Resolved,High,13,2022-01-24,1.0,In-Person,Agent E
TKT0029,CUS0163,2022-07-18,13:14,Technical Support,Escalated,High,7,2022-07-25,1.0,In-Person,Agent E
TKT0030,CUS0216,2023-11-05,16:00,Delivery,Resolved,High,17,2023-11-22,3.0,Phone,Agent D
TKT0031,CUS0078,2024-08-04,11:34,Warranty,In Progress,Critical,27,2024-08-31,4.0,Phone,Agent D
TKT0032,CUS0017,2022-06-10,13:05,Billing,Escalated,High,20,2022-06-30,4.0,Phone,Agent C
