inventory_id,product_id,product_name,category,brand,supplier_id,stock_qty,reorder_point,max_stock,needs_reorder,unit_cost,unit_price,gross_margin,margin_pct,units_sold_ytd,last_received,shelf_location,status,warranty
INV0001,PRD001,Kingston A400 240GB,Storage,Kingston,SUP001,132,24,228,0,13.5,29.99,16.49,55.0,204,2022-11-16,Rack-E1,active,3 years
INV0002,PRD002,Kingston A400 480GB,Storage,Kingston,SUP999,-6,8,249,0,22.0,49.99,27.99,56.0,134,2023-04-28,Rack-A1,active,3 years
INV0003,PRD003,Kingston A400 960GB,Storage,Kingston,SUP001,86,18,166,0,39.0,89.99,50.99,56.7,171,2022-07-25,,active,3 years
INV0004,PRD004,Samsung 870 EVO 500GB,Storage,Samsung,SUP002,52,22,287,0,35.0,79.99,44.99,56.2,31,2022-12-04,Rack-B8,active,5 years
INV0005,PRD005,Samsung 870 EVO 1TB,Storage,Samsung,SUP002,18,23,256,1,57.0,129.99,72.99,56.2,18,2023-12-21,Rack-C2,active,5 years
INV0006,PRD006,Samsung 970 EVO 500GB,Storage,Samsung,SUP002,106,24,289,0,30.0,69.99,39.99,57.1,41,2023-09-20,Rack-E8,active,5 years
INV0007,PRD007,Samsung 970 EVO 1TB,Storage,Samsung,SUP002,33,13,285,0,52.0,119.99,67.99,56.7,53,2022-02-12,Rack-A8,active,5 years
INV0008,PRD008,Samsung 970 EVO 2TB,Storage,Samsung,SUP002,129,12,266,0,96.0,219.99,123.99,56.4,220,2022-12-25,Rack-D5,active,5 years
INV0009,PRD009,WD Black SN850 1TB,Storage,WD,SUP013,200,12,105,0,48.0,109.99,61.99,56.4,13,2022-02-26,Rack-B9,active,5 years
INV0010,PRD010,Seagate Barracuda 2TB,Storage,Seagate,SUP014,155,17,274,0,24.0,54.99,30.99,56.4,9,2023-12-02,,active,2 years
INV0011,PRD011,Corsair Vengeance 8GB DDR4,Memory,Corsair,SUP003,13,17,296,1,13.0,29.99,16.99,56.7,64,2023-01-22,Rack-D12,active,Lifetime
INV0012,PRD012,Corsair Vengeance 16GB DDR4,Memory,Corsair,SUP003,109,22,135,0,26.0,59.99,33.99,56.7,224,2022-04-29,Rack-A15,active,Lifetime
INV0013,PRD013,Corsair Vengeance 32GB DDR4,Memory,Corsair,SUP003,157,16,190,0,48.0,109.99,61.99,56.4,175,2022-07-18,Rack-D15,active,Lifetime
INV0014,PRD014,G.Skill Trident Z5 16GB DDR5,Memory,G.Skill,SUP004,14,12,159,0,35.0,79.99,44.99,56.2,5,2022-04-05,Rack-B7,active,Lifetime
INV0015,PRD015,G.Skill Trident Z5 32GB DDR5,Memory,G.Skill,SUP004,191,22,245,0,65.0,149.99,84.99,56.7,7,2022-02-16,Rack-B14,active,Lifetime
INV0016,PRD016,G.Skill Trident Z5 64GB DDR5,Memory,G.Skill,SUP004,14,7,114,0,126.0,289.99,163.99,56.6,224,2022-05-10,Rack-B5,active,Lifetime
INV0017,PRD017,Kingston Fury Beast 16GB DDR4,Memory,Kingston,SUP001,11,15,189,1,24.0,54.99,30.99,56.4,125,2023-09-09,Rack-C3,active,Lifetime
INV0018,PRD018,ASUS ROG Strix B550-F,Motherboard,ASUS,SUP005,155,17,222,0,96.0,219.99,123.99,56.4,62,2023-11-05,Rack-A2,active,3 years
INV0019,PRD019,ASUS ROG Strix Z690-A,Motherboard,ASUS,SUP005,64,22,152,0,339.99,319.99,179.99,56.2,182,2023-05-22,,active,3 years
INV0020,PRD020,MSI MAG B550M MORTAR,Motherboard,MSI,SUP006,182,14,193,0,57.0,129.99,72.99,56.2,282,2024-03-09,Rack-C14,active,3 years
